id	filename	md5	size	state
00469928-b243-4cae-acd7-134508e99ceb	00469928-b243-4cae-acd7-134508e99ceb/2f51534b-248b-4999-bc3f-e42a2e98332e.rna_seq.augmented_star_gene_counts.tsv	e2fff70f2db6eaa2f2f6c5fc9e32f5ab	4232860	validated
02a0b95f-ea0f-4c0d-ba2d-9724ed9ad712	02a0b95f-ea0f-4c0d-ba2d-9724ed9ad712/5fd42405-ebfe-4210-bc2f-d8310e3e14ee.rna_seq.augmented_star_gene_counts.tsv	f8b1e5d2df5c02a8854a53bccae100e4	4246583	validated
02a11397-2a9b-4dba-8c6a-6b9f0aa24372	02a11397-2a9b-4dba-8c6a-6b9f0aa24372/9ccd787f-fde1-4fe6-a11f-d6203eaf9faf.rna_seq.augmented_star_gene_counts.tsv	7eebc2d62c8fed05d2524e5166f1e913	4256806	validated
0972f396-9045-4faa-98f8-e8c3e02f9901	0972f396-9045-4faa-98f8-e8c3e02f9901/37157138-01ef-49a5-bc74-c45feaf411e2.rna_seq.augmented_star_gene_counts.tsv	3507d2d812abb9f61cd797432307a479	4257345	validated
0ba26ef1-7b7d-48c8-a593-75504769791c	0ba26ef1-7b7d-48c8-a593-75504769791c/65b4f81a-4439-4d82-ae25-68d63309b053.rna_seq.augmented_star_gene_counts.tsv	4375d9c376b1afbb9b835aa3961afa27	4263846	validated
11396f70-0482-493b-b64f-60ce00c58837	11396f70-0482-493b-b64f-60ce00c58837/18294571-5fc3-4e68-8b31-5fc6a207639f.rna_seq.augmented_star_gene_counts.tsv	63aa6bf0ce1dfc31d5b637cd6b404291	4259281	validated
152c8e57-1f2f-464c-ad13-de0f4d81dbff	152c8e57-1f2f-464c-ad13-de0f4d81dbff/8d0f534a-a0b1-4d8e-9ca5-042f8a0a4e52.rna_seq.augmented_star_gene_counts.tsv	36d301217cac4a9396230b903c4fdfb0	4238654	validated
1873c44d-4dcb-41d3-8c3c-dec38f7ac3d1	1873c44d-4dcb-41d3-8c3c-dec38f7ac3d1/b69294e4-e359-43b3-b3df-04bf9401fb9e.rna_seq.augmented_star_gene_counts.tsv	88b9502169adc5264b69bb75c2173048	4228628	validated
19baf63b-8488-4b90-83b7-a6c671da0095	19baf63b-8488-4b90-83b7-a6c671da0095/9440b088-b04e-4417-9543-5001b0a2b217.rna_seq.augmented_star_gene_counts.tsv	99c301cba4be8a232ca1169c21f875ce	4247063	validated
1cb0d51d-def6-40ec-9c5f-4a98315b0382	1cb0d51d-def6-40ec-9c5f-4a98315b0382/a2a798c5-3b1e-4192-8c6a-8c627cd0879e.rna_seq.augmented_star_gene_counts.tsv	7e32f8736310851716ab2a7698495ed8	4253034	validated
1f5bbb4e-9b0e-4953-a360-83fd7b6a2267	1f5bbb4e-9b0e-4953-a360-83fd7b6a2267/d61a8ec1-aa99-41c3-8633-018cdb0ccb1a.rna_seq.augmented_star_gene_counts.tsv	5fea9da6efe4a400a7785171ecdaa734	4242522	validated
216378aa-8619-43fb-8a23-7db2fd71b441	216378aa-8619-43fb-8a23-7db2fd71b441/cc3ac2f0-9d26-407d-a8ff-d78170062983.rna_seq.augmented_star_gene_counts.tsv	dcf1110f2361a7876b644a57e1248d88	4256557	validated
236805b9-ea89-43b4-ba51-c09276778e90	236805b9-ea89-43b4-ba51-c09276778e90/0bceb3fb-af69-4427-8ce1-767da4b31c37.rna_seq.augmented_star_gene_counts.tsv	96abd8c1bdc92d41c491fd423a7dee45	4237836	validated
2a3dc057-3c00-405e-a18f-23e8c43494d4	2a3dc057-3c00-405e-a18f-23e8c43494d4/6c40b30a-d103-4397-997f-9b2bda66793a.rna_seq.augmented_star_gene_counts.tsv	cd1d4e429dc6ba16ad178567cedcd5ae	4246669	validated
2a898b49-54b6-4cb6-8af4-fb69d0818562	2a898b49-54b6-4cb6-8af4-fb69d0818562/69303772-638d-4171-84d2-cfa535256976.rna_seq.augmented_star_gene_counts.tsv	91af93fd97fce14f3beb5dd240dfd3bc	4229676	validated
3448aa6c-0de2-4d47-9bac-19507aee7492	3448aa6c-0de2-4d47-9bac-19507aee7492/4da20b00-8ed6-41ed-88d9-9969d15761c7.rna_seq.augmented_star_gene_counts.tsv	ad351b198e1a81ed4956b78b99531179	4260041	validated
435f3fbf-5c8f-4800-bff4-3b4d5f9daf2e	435f3fbf-5c8f-4800-bff4-3b4d5f9daf2e/8563d0ce-646e-4992-897d-5634f023ecba.rna_seq.augmented_star_gene_counts.tsv	e49166dd6b3a8806d385152b385f267b	4245714	validated
